Município;Data da Ocorrência;Número da Ocorrência;Desastre;IDHM;Receita Corrente Líquida;PIB;População;Prefeito;Pessoas Afetadas;Prejuízo Público;Prejuízo Privado;Recebeu Ajuda?;Material;Quantidade;Data da Solicitação;Data do Envio
Tunas do Paraná;23/11/2023 16:30;657/2023;Alagamentos;0,611;R$ 25.789.052,53;R$ 122.576,86;6.219;MARCO ANTÔNIO BALDÃO;801;R$ 71.001,00;R$ 0,00;Sim;Cobertor;120;26/11/2023 12:30;29/11/2023 16:10
Tunas do Paraná;23/11/2023 16:30;657/2023;Alagamentos;0,611;R$ 25.789.052,53;R$ 122.576,86;6.219;MARCO ANTÔNIO BALDÃO;801;R$ 71.001,00;R$ 0,00;Sim;Colchão Solteiro;-;26/11/2023 12:30;-
Tunas do Paraná;23/11/2023 16:30;657/2023;Alagamentos;0,611;R$ 25.789.052,53;R$ 122.576,86;6.219;MARCO ANTÔNIO BALDÃO;801;R$ 71.001,00;R$ 0,00;Sim;Kit Dormitório-(1 cobertor solteiro, 1 lençol solteiro, 1 fronha e 1 travesseiro);30;26/11/2023 12:30;29/11/2023 10:00
Tunas do Paraná;23/11/2023 16:30;657/2023;Alagamentos;0,611;R$ 25.789.052,53;R$ 122.576,86;6.219;MARCO ANTÔNIO BALDÃO;801;R$ 71.001,00;R$ 0,00;Sim;Kit Limpeza;100;26/11/2023 12:30;29/11/2023 16:10
Barracão;16/11/2023 17:30;648/2023;Tempestade Local/Convectiva - Granizo;0,706;R$ 37.551.803,24;R$ 268.142,20;9.759;Jorge Luiz Santin;1.764;R$ 500,00;R$ 745.000,00;Sim;Telha Fibrocimento 2.44x500x4mm;-;24/11/2023 16:33;-
Manfrinópolis;15/11/2023 13:57;631/2023;Enxurradas;0,645;R$ 15.648.311,28;R$ 72.696,41;2.770;ILENA DE FATIMA PEGORARO OLIVEIRA;360;R$ 271.058,00;R$ 1.000.000,00;Não;-;-;-;-
Santo Antônio do Sudoeste;15/11/2023 09:00;629/2023;Enxurradas;0,671;R$ 58.197.994,83;R$ 577.653,86;23.673;Ricardo Antonio Ortina;9.660;R$ 2.997.824,00;R$ 2.745.000,00;Sim;Colchão Solteiro;100;24/11/2023 09:20;29/11/2023 10:30
Santo Antônio do Sudoeste;15/11/2023 09:00;629/2023;Enxurradas;0,671;R$ 58.197.994,83;R$ 577.653,86;23.673;Ricardo Antonio Ortina;9.660;R$ 2.997.824,00;R$ 2.745.000,00;Sim;Kit Higiene;-;24/11/2023 09:20;-
Santo Antônio do Sudoeste;15/11/2023 09:00;629/2023;Enxurradas;0,671;R$ 58.197.994,83;R$ 577.653,86;23.673;Ricardo Antonio Ortina;9.660;R$ 2.997.824,00;R$ 2.745.000,00;Sim;Cesta Básica;165;24/11/2023 16:40;29/11/2023 10:00
Pato Branco;15/11/2023 08:00;630/2023;Enxurradas;0,782;R$ 360.862.575,33;R$ 4.167.224,12;91.836;ROBSON CANTU;1.664;R$ 13.470.000,00;R$ 0,00;Não;-;-;-;-
Salgado Filho;15/11/2023 07:40;636/2023;Enxurradas;0,70;R$ 16.304.671,18;R$ 115.050,03;4.075;Volmar Duarte;791;R$ 720.000,00;R$ 442.000,00;Não;-;-;-;-
Planalto;14/11/2023 03:00;642/2023;Enxurradas;0,706;R$ 50.017.613,46;R$ 377.506,26;14.374;LUIZ CARLOS BONI;7.500;R$ 0,00;R$ 39.014.081,70;Não;-;-;-;-
Bituruna;08/11/2023 03:00;623/2023;Tempestade Local/Convectiva - Chuvas Intensas;0,667;R$ 57.991.477,75;R$ 443.580,52;15.533;Rodrigo Rossoni;1.154;R$ 251.900,13;R$ 17.900.000,00;Não;-;-;-;-
Querência do Norte;05/11/2023 07:00;597/2023;Inundações;0,688;R$ 39.732.322,66;R$ 255.954,22;10.685;Alex Sandro Fernandes;120;R$ 360.000,00;R$ 17.134.000,00;Não;-;-;-;-
Goioxim;04/11/2023 14:20;474/2023;Tempestade Local/Convectiva - Chuvas Intensas;0,641;R$ 24.737.277,00;R$ 282.538,35;6.566;Mari Terezinha da Silva;3.063;R$ 280.500,00;R$ 3.000,00;Não;-;-;-;-
Porto Vitória;03/11/2023 15:00;594/2023;Tempestade Local/Convectiva - Chuvas Intensas;0,685;R$ 18.356.898,77;R$ 82.649,85;3.562;Marisa de Fatima Ilkiu de Souza;525;R$ 80.000,00;R$ 456.000,00;Não;-;-;-;-
