Município;Data da Ocorrência;Número da Ocorrência;Desastre;IDHM;Receita Corrente Líquida;PIB;População;Prefeito;Pessoas Afetadas;Prejuízo Público;Prejuízo Privado;Recebeu Ajuda?;Material;Quantidade;Data da Solicitação;Data do Envio
Mallet;12/10/2023 10:30;386/2023;Inundações;0,708;R$ 45.095.724,59;R$ 694.572,53;13.428;Moacir Alfredo Szinvelski;3.201;R$ 595.025,00;R$ 68.015.368,00;Sim;Colchão Solteiro;70;20/10/2023 15:24;31/10/2023 10:00
Mallet;12/10/2023 10:30;386/2023;Inundações;0,708;R$ 45.095.724,59;R$ 694.572,53;13.428;Moacir Alfredo Szinvelski;3.201;R$ 595.025,00;R$ 68.015.368,00;Sim;Kit Dormitório-(1 cobertor solteiro, 1 lençol solteiro, 1 fronha e 1 travesseiro);70;20/10/2023 15:24;31/10/2023 10:00
Mallet;12/10/2023 10:30;386/2023;Inundações;0,708;R$ 45.095.724,59;R$ 694.572,53;13.428;Moacir Alfredo Szinvelski;3.201;R$ 595.025,00;R$ 68.015.368,00;Sim;Kit Higiene;30;20/10/2023 15:24;31/10/2023 10:00
Mallet;12/10/2023 10:30;386/2023;Inundações;0,708;R$ 45.095.724,59;R$ 694.572,53;13.428;Moacir Alfredo Szinvelski;3.201;R$ 595.025,00;R$ 68.015.368,00;Sim;Kit Limpeza;30;20/10/2023 15:24;31/10/2023 10:00
General Carneiro;12/10/2023 09:30;383/2023;Tempestade Local/Convectiva - Chuvas Intensas;0,652;R$ 36.351.409,25;R$ 357.997,04;11.062;Joel Ricardo Martins Ferreira;792;R$ 0,00;R$ 2.674.110,00;Não;-;-;-;-
Porto Amazonas;12/10/2023 09:00;396/2023;Inundações;0,70;R$ 19.151.176,41;R$ 155.153,10;4.098;ELIAS JOCID GOMES DA COSTA;320;R$ 100.000,00;R$ 201.000,00;Sim;Cesta Básica;120;13/10/2023 13:57;18/10/2023 11:00
Porto Amazonas;12/10/2023 09:00;396/2023;Inundações;0,70;R$ 19.151.176,41;R$ 155.153,10;4.098;ELIAS JOCID GOMES DA COSTA;320;R$ 100.000,00;R$ 201.000,00;Sim;Colchão Solteiro;176;13/10/2023 13:57;13/10/2023 10:00
São Mateus do Sul;12/10/2023 09:00;392/2023;Inundações;0,719;R$ 136.039.722,01;R$ 1.306.339,89;42.358;FERNANDA GARCIA SARDANHA;1.824;R$ 227.200,00;R$ 435.000,00;Sim;Cesta Básica;200;16/10/2023 10:15;18/10/2023 10:00
São Mateus do Sul;12/10/2023 09:00;392/2023;Inundações;0,719;R$ 136.039.722,01;R$ 1.306.339,89;42.358;FERNANDA GARCIA SARDANHA;1.824;R$ 227.200,00;R$ 435.000,00;Sim;Colchão Solteiro;20;16/10/2023 10:15;18/10/2023 10:00
São Mateus do Sul;12/10/2023 09:00;392/2023;Inundações;0,719;R$ 136.039.722,01;R$ 1.306.339,89;42.358;FERNANDA GARCIA SARDANHA;1.824;R$ 227.200,00;R$ 435.000,00;Sim;Colchão Solteiro;130;16/10/2023 10:15;17/10/2023 10:00
